lati,longi,time,color
42.054364,-87.675485,2022-05-24 16:00:53-05:00,green
42.058004,-87.674764,2022-05-24 15:54:23-05:00,green
42.058142,-87.67484,2022-05-24 15:54:03-05:00,green
42.057805,-87.674701,2022-05-24 15:52:20-05:00,green
42.057706,-87.674668,2022-05-24 15:52:10-05:00,green
42.057549,-87.674529,2022-05-24 15:51:51-05:00,green
42.055806,-87.674782,2022-05-24 15:48:52-05:00,green
42.057229,-87.674693,2022-05-24 15:25:33-05:00,green
42.057535,-87.674654,2022-05-24 15:25:13-05:00,green
42.057793,-87.674563,2022-05-24 15:24:53-05:00,green
42.058479,-87.674836,2022-05-24 15:23:23-05:00,green
42.05857,-87.676753,2022-05-24 15:21:03-05:00,green
42.05861,-87.676866,2022-05-24 15:20:55-05:00,green
42.059302,-87.676506,2022-05-24 15:19:44-05:00,green
42.05947,-87.675747,2022-05-24 15:18:34-05:00,green
42.058766,-87.674202,2022-05-24 15:15:23-05:00,green
