lati,longi,time,color
41.896718,-87.617251,2022-06-03 08:56:19.046000-05:00,green
41.896379,-87.616897,2022-06-03 08:55:02.213000-05:00,green
41.896184,-87.616731,2022-06-03 08:54:42.208000-05:00,green
41.895924,-87.616588,2022-06-03 08:54:07.362000-05:00,green
41.895428,-87.61618,2022-06-03 08:52:52.109000-05:00,green
41.895392,-87.616143,2022-06-03 08:52:47.347000-05:00,green
41.895358,-87.616118,2022-06-03 08:52:42.089000-05:00,green
41.895274,-87.616059,2022-06-03 08:52:27.122000-05:00,green
41.894671,-87.615669,2022-06-03 08:51:21.979000-05:00,green
41.89461,-87.615612,2022-06-03 08:51:11.958000-05:00,green
41.894102,-87.615752,2022-06-03 08:50:27.469000-05:00,green
41.894321,-87.617917,2022-06-03 08:47:16.606000-05:00,green
41.894606,-87.617998,2022-06-03 08:46:37.029000-05:00,green
41.894717,-87.617993,2022-06-03 08:46:26.614000-05:00,green
41.894975,-87.618222,2022-06-03 08:45:28.212000-05:00,green
41.894928,-87.618479,2022-06-03 08:45:01.912000-05:00,green
41.894796,-87.619218,2022-06-03 08:43:46.494000-05:00,green
41.894911,-87.619434,2022-06-03 08:43:31.504000-05:00,green
41.894891,-87.619531,2022-06-03 08:43:13.109000-05:00,green
41.894868,-87.619764,2022-06-03 08:42:36.527000-05:00,green
41.894718,-87.620087,2022-06-03 08:42:07.532000-05:00,green
41.894226,-87.620292,2022-06-03 08:41:16.355000-05:00,green
41.894256,-87.620168,2022-06-03 08:41:06.164000-05:00,green
41.894258,-87.6202,2022-06-03 08:40:46.464000-05:00,green
41.894078,-87.620527,2022-06-03 08:39:27.024000-05:00,green
41.894301,-87.621745,2022-06-03 08:37:53.037000-05:00,green
41.894284,-87.621858,2022-06-03 08:37:36.359000-05:00,green
41.894273,-87.622785,2022-06-03 08:36:06.127000-05:00,green
41.89436,-87.622964,2022-06-03 08:35:46.200000-05:00,green
41.894729,-87.623021,2022-06-03 08:34:30.963000-05:00,green
41.895077,-87.622885,2022-06-03 08:33:35.926000-05:00,green
41.895245,-87.622906,2022-06-03 08:33:21.133000-05:00,green
41.895307,-87.622877,2022-06-03 08:33:16.373000-05:00,green
41.895833,-87.622827,2022-06-03 08:32:15.631000-05:00,green
41.895854,-87.62283,2022-06-03 08:32:05.618000-05:00,green
41.89574,-87.62289,2022-06-03 08:32:00.637000-05:00,green
41.895798,-87.622248,2022-06-03 08:31:00.531000-05:00,green
41.89579,-87.622167,2022-06-03 08:30:50.727000-05:00,green
41.895894,-87.621498,2022-06-03 08:29:20.421000-05:00,green
41.895939,-87.62141,2022-06-03 08:29:16.467000-05:00,green
41.895885,-87.621123,2022-06-03 08:28:35.831000-05:00,green
41.895836,-87.620588,2022-06-03 08:27:00.790000-05:00,green
41.896549,-87.620469,2022-06-03 08:25:10.528000-05:00,green
41.896788,-87.620372,2022-06-03 08:24:30.505000-05:00,green
41.896884,-87.62,2022-06-03 08:23:49.618000-05:00,green
41.896794,-87.619921,2022-06-03 08:23:43.350000-05:00,green
41.896692,-87.619521,2022-06-03 08:22:53.354000-05:00,green
41.896747,-87.619481,2022-06-03 08:22:48.292000-05:00,green
41.896693,-87.61933,2022-06-03 08:22:33.314000-05:00,green
41.896845,-87.619091,2022-06-03 08:21:33.799000-05:00,green
41.896882,-87.619031,2022-06-03 08:21:18.285000-05:00,green
41.89673,-87.618831,2022-06-03 08:20:28.446000-05:00,green
41.896828,-87.618373,2022-06-03 08:19:23.090000-05:00,green
41.896802,-87.618075,2022-06-03 08:18:48.078000-05:00,green
41.896791,-87.617939,2022-06-03 08:18:33.564000-05:00,green
41.896747,-87.617834,2022-06-03 08:18:18.041000-05:00,green
