lati,longi,time,color
42.052493,-87.673144,2022-05-28 11:27:46.749000-05:00,green
42.052787,-87.672645,2022-05-28 11:25:32.273000-05:00,green
42.052849,-87.67255,2022-05-28 11:25:21.171000-05:00,green
42.052977,-87.672369,2022-05-28 11:24:46.453000-05:00,green
42.052996,-87.671944,2022-05-28 11:24:01.639000-05:00,green
42.05289,-87.671835,2022-05-28 11:23:41.640000-05:00,green
42.052911,-87.671717,2022-05-28 11:22:56.141000-05:00,green
42.053092,-87.671679,2022-05-28 11:22:26.045000-05:00,green
42.053302,-87.671719,2022-05-28 11:21:56.113000-05:00,green
42.053545,-87.671678,2022-05-28 11:21:10.796000-05:00,green
42.05374,-87.671971,2022-05-28 11:20:15.714000-05:00,green
42.053749,-87.672339,2022-05-28 11:19:25.717000-05:00,green
42.053711,-87.672708,2022-05-28 11:18:41.076000-05:00,green
42.053817,-87.673253,2022-05-28 11:17:46.682000-05:00,green
42.053968,-87.673502,2022-05-28 11:17:11.829000-05:00,green
42.05442,-87.673981,2022-05-28 11:15:46.278000-05:00,green
42.055124,-87.673962,2022-05-28 11:14:06.677000-05:00,green
42.055581,-87.674176,2022-05-28 11:12:41.265000-05:00,green
42.055895,-87.674904,2022-05-28 11:10:55.636000-05:00,green
42.056477,-87.674837,2022-05-28 11:09:30.328000-05:00,green
42.056517,-87.674802,2022-05-28 11:09:25.527000-05:00,green
42.056799,-87.674773,2022-05-28 11:08:35.391000-05:00,green
42.057163,-87.675082,2022-05-28 11:07:46.250000-05:00,green
42.057166,-87.675368,2022-05-28 11:07:15.084000-05:00,green
42.057107,-87.675468,2022-05-28 11:07:05.233000-05:00,green
42.057053,-87.675893,2022-05-28 11:06:10.613000-05:00,green
42.057188,-87.676362,2022-05-28 11:05:15.604000-05:00,green
42.057082,-87.676728,2022-05-28 11:04:35.051000-05:00,green
42.05724,-87.677036,2022-05-28 11:03:44.956000-05:00,green
42.057415,-87.677025,2022-05-28 11:03:14.891000-05:00,green
42.057705,-87.676939,2022-05-28 11:02:30.392000-05:00,green
42.057823,-87.676523,2022-05-28 11:00:44.772000-05:00,green
42.057921,-87.67679,2022-05-28 11:00:09.810000-05:00,green
42.057921,-87.676818,2022-05-28 11:00:04.996000-05:00,green
42.057917,-87.676914,2022-05-28 10:59:54.755000-05:00,green
42.058283,-87.676886,2022-05-28 10:58:49.810000-05:00,green
42.058307,-87.676886,2022-05-28 10:58:44.852000-05:00,green
42.058548,-87.67692,2022-05-28 10:58:00.075000-05:00,green
42.058562,-87.676621,2022-05-28 10:57:14.539000-05:00,green
42.058593,-87.67653,2022-05-28 10:57:04.840000-05:00,green
42.059,-87.675903,2022-05-28 10:55:21.251000-05:00,green
42.059096,-87.675905,2022-05-28 10:55:04.853000-05:00,green
42.059699,-87.675912,2022-05-28 10:53:34.362000-05:00,green
42.059792,-87.675944,2022-05-28 10:53:29.411000-05:00,green
42.059929,-87.676252,2022-05-28 10:52:59.378000-05:00,green
42.059875,-87.676403,2022-05-28 10:52:29.673000-05:00,green
42.059732,-87.676855,2022-05-28 10:51:04.336000-05:00,green
42.059932,-87.676767,2022-05-28 10:50:24.187000-05:00,green
42.060021,-87.676854,2022-05-28 10:50:09.119000-05:00,green
42.060117,-87.676833,2022-05-28 10:49:49.063000-05:00,green
42.060527,-87.676952,2022-05-28 10:48:59.070000-05:00,green
42.060811,-87.676978,2022-05-28 10:48:19.071000-05:00,green
42.060863,-87.676958,2022-05-28 10:48:14.884000-05:00,green
42.061356,-87.676996,2022-05-28 10:47:03.838000-05:00,green
42.061481,-87.676965,2022-05-28 10:46:49.139000-05:00,green
42.06128,-87.676119,2022-05-28 10:45:03.953000-05:00,green
42.061164,-87.676321,2022-05-28 10:44:33.896000-05:00,green
42.060946,-87.676363,2022-05-28 10:43:58.720000-05:00,green
42.060813,-87.676386,2022-05-28 10:43:43.814000-05:00,green
42.06077,-87.676385,2022-05-28 10:43:38.782000-05:00,green
42.060782,-87.676346,2022-05-28 10:43:06.018000-05:00,green
42.060704,-87.676569,2022-05-28 10:42:29.385000-05:00,green
42.060239,-87.676382,2022-05-28 10:41:23.847000-05:00,green
42.060069,-87.675978,2022-05-28 10:39:28.658000-05:00,green
42.059773,-87.676075,2022-05-28 10:38:43.546000-05:00,green
42.059732,-87.676082,2022-05-28 10:38:34.622000-05:00,green
42.059611,-87.676032,2022-05-28 10:38:08.402000-05:00,green
42.059566,-87.675983,2022-05-28 10:37:53.397000-05:00,green
42.059497,-87.675973,2022-05-28 10:37:33.404000-05:00,green
42.059451,-87.675717,2022-05-28 10:36:38.675000-05:00,green
42.059076,-87.675252,2022-05-28 10:35:28.230000-05:00,green
42.058936,-87.674745,2022-05-28 10:34:28.768000-05:00,green
42.058975,-87.674879,2022-05-28 10:32:36.012000-05:00,green
42.058931,-87.674601,2022-05-28 10:31:46.052000-05:00,green
42.058866,-87.674404,2022-05-28 10:31:21.146000-05:00,green
