lati,longi,time,color
41.887178,-87.627843,2022-06-03 11:16:30.216000-05:00,green
41.887002,-87.628437,2022-06-03 11:15:10.833000-05:00,green
41.887022,-87.628447,2022-06-03 11:15:05.472000-05:00,green
41.887032,-87.628527,2022-06-03 11:14:49.903000-05:00,green
41.887042,-87.628615,2022-06-03 11:14:29.917000-05:00,green
41.887111,-87.629423,2022-06-03 11:13:30.052000-05:00,green
41.887112,-87.629427,2022-06-03 11:12:24.855000-05:00,green
41.887085,-87.629358,2022-06-03 11:12:14.953000-05:00,green
41.888013,-87.62954,2022-06-03 11:11:09.791000-05:00,green
41.888039,-87.629588,2022-06-03 11:10:57.753000-05:00,green
41.888335,-87.629522,2022-06-03 11:10:29.746000-05:00,green
41.888101,-87.627965,2022-06-03 11:09:39.595000-05:00,green
41.88843,-87.627975,2022-06-03 11:08:49.966000-05:00,green
41.8882,-87.627942,2022-06-03 11:07:36.320000-05:00,green
41.888117,-87.627857,2022-06-03 11:06:59.532000-05:00,green
41.888313,-87.627292,2022-06-03 11:06:39.330000-05:00,green
41.888383,-87.627166,2022-06-03 11:06:24.404000-05:00,green
41.888388,-87.627116,2022-06-03 11:05:59.484000-05:00,green
41.888428,-87.627092,2022-06-03 11:05:14.540000-05:00,green
41.888431,-87.625585,2022-06-03 11:03:49.310000-05:00,green
41.889145,-87.625849,2022-06-03 11:03:04.508000-05:00,green
41.88949,-87.625848,2022-06-03 11:02:49.248000-05:00,green
41.889474,-87.625773,2022-06-03 11:02:29.167000-05:00,green
41.88945,-87.625644,2022-06-03 11:02:19.432000-05:00,green
41.889568,-87.624798,2022-06-03 11:00:49.089000-05:00,green
41.889597,-87.624682,2022-06-03 11:00:44.175000-05:00,green
41.889582,-87.624545,2022-06-03 11:00:39.095000-05:00,green
41.889363,-87.624489,2022-06-03 11:00:04.118000-05:00,green
41.88929,-87.624726,2022-06-03 10:59:39.255000-05:00,green
41.889545,-87.624661,2022-06-03 10:59:09.431000-05:00,green
41.890414,-87.624407,2022-06-03 10:56:49.031000-05:00,green
41.890458,-87.624384,2022-06-03 10:56:45.071000-05:00,green
41.890991,-87.623992,2022-06-03 10:55:29.028000-05:00,green
41.891219,-87.623866,2022-06-03 10:54:58.998000-05:00,green
41.891356,-87.623898,2022-06-03 10:54:43.892000-05:00,green
41.891372,-87.623872,2022-06-03 10:54:33.963000-05:00,green
41.891392,-87.623876,2022-06-03 10:54:28.952000-05:00,green
41.891422,-87.623902,2022-06-03 10:54:18.879000-05:00,green
41.891488,-87.623989,2022-06-03 10:54:09.523000-05:00,green
41.89273,-87.62517,2022-06-03 10:51:13.707000-05:00,green
