lati,longi,time,color
42.049682,-87.681843,2022-06-03 18:17:27.903000-05:00,green
42.049695,-87.681894,2022-06-03 18:17:07.311000-05:00,green
42.048996,-87.68192,2022-06-03 18:15:16.702000-05:00,green
42.048522,-87.682015,2022-06-03 18:14:26.942000-05:00,green
42.04814,-87.681976,2022-06-03 18:13:16.943000-05:00,green
42.047285,-87.682084,2022-06-03 18:11:29.357000-05:00,green
42.047265,-87.682084,2022-06-03 18:11:24.476000-05:00,green
42.047169,-87.682081,2022-06-03 18:11:09.861000-05:00,green
42.047146,-87.682055,2022-06-03 18:11:05.085000-05:00,green
42.046752,-87.681419,2022-06-03 18:09:29.203000-05:00,green
42.046899,-87.681287,2022-06-03 18:09:04.410000-05:00,green
42.047482,-87.680943,2022-06-03 18:07:34.083000-05:00,green
42.0476,-87.680915,2022-06-03 18:07:19.138000-05:00,green
42.047931,-87.680923,2022-06-03 18:06:34.288000-05:00,green
42.048121,-87.68055,2022-06-03 18:05:49.198000-05:00,green
42.047982,-87.680007,2022-06-03 18:04:39.652000-05:00,green
42.047644,-87.67894,2022-06-03 18:01:43.912000-05:00,green
42.047341,-87.679079,2022-06-03 18:00:28.710000-05:00,green
42.047245,-87.679196,2022-06-03 18:00:09.111000-05:00,green
42.047203,-87.67925,2022-06-03 18:00:00.069000-05:00,green
42.046884,-87.679403,2022-06-03 17:58:53.575000-05:00,green
42.046403,-87.679408,2022-06-03 17:57:53.524000-05:00,green
